Income,Age Group,City Tier,Number of Dependents,Debts,Education,Assets,Insurance Status,Credit Score (Normalized)
"₹12,00,001 – ₹25,00,000",Above 65,Tier 1,4,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",No missed payments,627
"₹6,00,001 – ₹12,00,000",26–35,Tier 1,0,"₹5,00,001 – ₹10,00,000",High School,"Above ₹1,00,00,000",1–2 late payments,682
"₹3,00,001 – ₹6,00,000",18–25,Tier 2,4,"₹1,00,001 – ₹5,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,655
"₹6,00,001 – ₹12,00,000",18–25,Tier 2,4,"₹5,00,001 – ₹10,00,000",Masters,"Below ₹2,00,000",1–2 late payments,545
"₹3,00,001 – ₹6,00,000",36–50,Tier 1,0,"₹10,00,001 – ₹25,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,627
"₹6,00,001 – ₹12,00,000",36–50,Tier 3,5,"Below ₹1,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",No missed payments,723
"₹6,00,001 – ₹12,00,000",51–65,Tier 2,0,"₹10,00,001 – ₹25,00,000",Bachelors,"Below ₹2,00,000",More than 2 missed payments,545
"₹12,00,001 – ₹25,00,000",18–25,Tier 1,2,"₹5,00,001 – ₹10,00,000",High School,"₹10,00,001 – ₹50,00,000",No missed payments,655
"₹12,00,001 – ₹25,00,000",26–35,Tier 2,1,"Above ₹25,00,000",High School,"₹50,00,001 – ₹1,00,00,000",No missed payments,641
"₹3,00,001 – ₹6,00,000",51–65,Tier 2,5,"₹1,00,001 – ₹5,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",1–2 late payments,559
"Below ₹3,00,000",18–25,Tier 1,3,"Above ₹25,00,000",Bachelors,"₹10,00,001 – ₹50,00,000",No missed payments,559
"₹6,00,001 – ₹12,00,000",Above 65,Tier 1,1,"Above ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",No missed payments,641
"Above ₹25,00,000",Above 65,Tier 2,3,"₹10,00,001 – ₹25,00,000",Diploma,"Below ₹2,00,000",No missed payments,586
"Below ₹3,00,000",26–35,Tier 1,6,"₹1,00,001 – ₹5,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",No missed payments,709
"₹6,00,001 – ₹12,00,000",18–25,Tier 3,0,"Below ₹1,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",No missed payments,682
"₹6,00,001 – ₹12,00,000",51–65,Tier 1,5,"₹1,00,001 – ₹5,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,668
"₹3,00,001 – ₹6,00,000",36–50,Tier 3,0,"₹5,00,001 – ₹10,00,000",Masters,"₹10,00,001 – ₹50,00,000",No missed payments,709
"₹12,00,001 – ₹25,00,000",Above 65,Tier 2,5,"₹1,00,001 – ₹5,00,000",PhD,"Above ₹1,00,00,000",More than 2 missed payments,695
"₹12,00,001 – ₹25,00,000",18–25,Tier 3,3,"Below ₹1,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",No missed payments,723
"₹12,00,001 – ₹25,00,000",26–35,Tier 2,5,"Below ₹1,00,000",Masters,"₹2,00,000 – ₹10,00,000",No missed payments,723
"₹6,00,001 – ₹12,00,000",51–65,Tier 2,6,"₹5,00,001 – ₹10,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,573
"Above ₹25,00,000",51–65,Tier 1,1,"₹1,00,001 – ₹5,00,000",Diploma,"₹10,00,001 – ₹50,00,000",1–2 late payments,723
"₹3,00,001 – ₹6,00,000",18–25,Tier 3,1,"Below ₹1,00,000",High School,"Below ₹2,00,000",No missed payments,559
"₹6,00,001 – ₹12,00,000",36–50,Tier 1,3,"₹5,00,001 – ₹10,00,000",High School,"₹2,00,000 – ₹10,00,000",No missed payments,641
"₹12,00,001 – ₹25,00,000",51–65,Tier 2,0,"Below ₹1,00,000",Masters,"Below ₹2,00,000",More than 2 missed payments,682
"Below ₹3,00,000",51–65,Tier 2,1,"₹5,00,001 – ₹10,00,000",Masters,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,586
"₹12,00,001 – ₹25,00,000",26–35,Tier 2,2,"₹5,00,001 – ₹10,00,000",Bachelors,"Above ₹1,00,00,000",1–2 late payments,709
"₹12,00,001 – ₹25,00,000",18–25,Tier 2,1,"Above ₹25,00,000",PhD,"₹2,00,000 – ₹10,00,000",1–2 late payments,614
"Below ₹3,00,000",36–50,Tier 1,6,"Below ₹1,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,655
"Below ₹3,00,000",36–50,Tier 3,3,"Above ₹25,00,000",PhD,"Below ₹2,00,000",No missed payments,559
"Below ₹3,00,000",Above 65,Tier 2,3,"Below ₹1,00,000",Diploma,"Above ₹1,00,00,000",1–2 late payments,614
"₹3,00,001 – ₹6,00,000",18–25,Tier 1,6,"Above ₹25,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",1–2 late payments,464
"₹12,00,001 – ₹25,00,000",18–25,Tier 3,6,"₹1,00,001 – ₹5,00,000",High School,"₹10,00,001 – ₹50,00,000",No missed payments,573
"Below ₹3,00,000",36–50,Tier 3,5,"₹5,00,001 – ₹10,00,000",High School,"Above ₹1,00,00,000",No missed payments,586
"Below ₹3,00,000",36–50,Tier 3,6,"₹10,00,001 – ₹25,00,000",High School,"₹2,00,000 – ₹10,00,000",1–2 late payments,409
"₹12,00,001 – ₹25,00,000",36–50,Tier 1,4,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",No missed payments,682
"Below ₹3,00,000",36–50,Tier 1,2,"₹1,00,001 – ₹5,00,000",PhD,"Below ₹2,00,000",More than 2 missed payments,627
"Above ₹25,00,000",26–35,Tier 2,5,"₹1,00,001 – ₹5,00,000",Masters,"Above ₹1,00,00,000",No missed payments,805
"Below ₹3,00,000",51–65,Tier 3,6,"Below ₹1,00,000",Bachelors,"Above ₹1,00,00,000",No missed payments,655
"Below ₹3,00,000",18–25,Tier 2,4,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",No missed payments,491
"Below ₹3,00,000",18–25,Tier 3,3,"Above ₹25,00,000",High School,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,368
"₹3,00,001 – ₹6,00,000",51–65,Tier 2,1,"Below ₹1,00,000",Masters,"₹10,00,001 – ₹50,00,000",1–2 late payments,695
"₹12,00,001 – ₹25,00,000",Above 65,Tier 3,0,"Below ₹1,00,000",PhD,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,682
"₹3,00,001 – ₹6,00,000",51–65,Tier 1,4,"Below ₹1,00,000",High School,"₹2,00,000 – ₹10,00,000",No missed payments,627
"Below ₹3,00,000",51–65,Tier 3,6,"Above ₹25,00,000",Diploma,"₹10,00,001 – ₹50,00,000",No missed payments,464
"Below ₹3,00,000",26–35,Tier 1,1,"₹10,00,001 – ₹25,00,000",PhD,"Above ₹1,00,00,000",More than 2 missed payments,668
"Above ₹25,00,000",36–50,Tier 3,6,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,573
"Below ₹3,00,000",18–25,Tier 3,2,"₹5,00,001 – ₹10,00,000",Masters,"₹50,00,001 – ₹1,00,00,000",No missed payments,627
"₹6,00,001 – ₹12,00,000",Above 65,Tier 2,2,"Below ₹1,00,000",PhD,"₹10,00,001 – ₹50,00,000",No missed payments,764
"₹12,00,001 – ₹25,00,000",51–65,Tier 3,5,"Above ₹25,00,000",Diploma,"Below ₹2,00,000",More than 2 missed payments,423
"Above ₹25,00,000",Above 65,Tier 2,0,"Below ₹1,00,000",Diploma,"₹2,00,000 – ₹10,00,000",1–2 late payments,682
"₹12,00,001 – ₹25,00,000",36–50,Tier 3,2,"Above ₹25,00,000",Masters,"₹10,00,001 – ₹50,00,000",No missed payments,682
"Below ₹3,00,000",51–65,Tier 2,3,"Below ₹1,00,000",Masters,"₹10,00,001 – ₹50,00,000",No missed payments,695
"Above ₹25,00,000",36–50,Tier 3,4,"₹10,00,001 – ₹25,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",No missed payments,764
"₹3,00,001 – ₹6,00,000",Above 65,Tier 1,3,"₹10,00,001 – ₹25,00,000",PhD,"Above ₹1,00,00,000",No missed payments,723
"₹12,00,001 – ₹25,00,000",36–50,Tier 3,5,"Below ₹1,00,000",Bachelors,"Above ₹1,00,00,000",More than 2 missed payments,695
"₹3,00,001 – ₹6,00,000",26–35,Tier 1,2,"₹1,00,001 – ₹5,00,000",High School,"Above ₹1,00,00,000",1–2 late payments,655
"₹6,00,001 – ₹12,00,000",26–35,Tier 2,6,"₹1,00,001 – ₹5,00,000",PhD,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,600
"Above ₹25,00,000",Above 65,Tier 3,4,"₹5,00,001 – ₹10,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",No missed payments,627
"₹6,00,001 – ₹12,00,000",51–65,Tier 2,0,"₹10,00,001 – ₹25,00,000",Bachelors,"Below ₹2,00,000",No missed payments,627
"Below ₹3,00,000",18–25,Tier 1,3,"Below ₹1,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,586
"Above ₹25,00,000",51–65,Tier 1,4,"₹1,00,001 – ₹5,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,736
"Below ₹3,00,000",26–35,Tier 2,6,"₹10,00,001 – ₹25,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,464
"₹3,00,001 – ₹6,00,000",Above 65,Tier 3,4,"Above ₹25,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,545
"₹3,00,001 – ₹6,00,000",51–65,Tier 2,4,"Above ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",1–2 late payments,518
"₹6,00,001 – ₹12,00,000",51–65,Tier 2,3,"₹10,00,001 – ₹25,00,000",PhD,"Above ₹1,00,00,000",No missed payments,750
"₹12,00,001 – ₹25,00,000",36–50,Tier 3,6,"₹1,00,001 – ₹5,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",No missed payments,655
"₹3,00,001 – ₹6,00,000",51–65,Tier 3,5,"Below ₹1,00,000",PhD,"Below ₹2,00,000",No missed payments,641
"Below ₹3,00,000",26–35,Tier 3,4,"₹5,00,001 – ₹10,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,436
"₹6,00,001 – ₹12,00,000",36–50,Tier 2,0,"Below ₹1,00,000",Masters,"₹10,00,001 – ₹50,00,000",1–2 late payments,764
"₹3,00,001 – ₹6,00,000",36–50,Tier 2,0,"Below ₹1,00,000",Bachelors,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,682
"₹3,00,001 – ₹6,00,000",36–50,Tier 2,4,"₹10,00,001 – ₹25,00,000",Masters,"Below ₹2,00,000",More than 2 missed payments,518
"₹12,00,001 – ₹25,00,000",26–35,Tier 2,6,"Below ₹1,00,000",PhD,"₹10,00,001 – ₹50,00,000",No missed payments,764
"₹12,00,001 – ₹25,00,000",Above 65,Tier 1,5,"₹10,00,001 – ₹25,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",1–2 late payments,559
"₹3,00,001 – ₹6,00,000",Above 65,Tier 1,4,"Above ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",No missed payments,573
"₹12,00,001 – ₹25,00,000",51–65,Tier 1,2,"₹10,00,001 – ₹25,00,000",Masters,"Above ₹1,00,00,000",No missed payments,791
"₹3,00,001 – ₹6,00,000",18–25,Tier 3,4,"Above ₹25,00,000",Masters,"₹50,00,001 – ₹1,00,00,000",No missed payments,573
"₹3,00,001 – ₹6,00,000",18–25,Tier 3,5,"Above ₹25,00,000",PhD,"Below ₹2,00,000",No missed payments,505
"Above ₹25,00,000",36–50,Tier 2,6,"₹10,00,001 – ₹25,00,000",Bachelors,"Below ₹2,00,000",More than 2 missed payments,545
"₹6,00,001 – ₹12,00,000",Above 65,Tier 3,5,"Below ₹1,00,000",PhD,"Above ₹1,00,00,000",1–2 late payments,695
"₹3,00,001 – ₹6,00,000",36–50,Tier 1,6,"₹10,00,001 – ₹25,00,000",High School,"Above ₹1,00,00,000",No missed payments,627
"Above ₹25,00,000",18–25,Tier 3,1,"Above ₹25,00,000",Masters,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,586
"₹6,00,001 – ₹12,00,000",18–25,Tier 1,2,"₹5,00,001 – ₹10,00,000",PhD,"₹2,00,000 – ₹10,00,000",No missed payments,709
"₹12,00,001 – ₹25,00,000",18–25,Tier 2,3,"₹10,00,001 – ₹25,00,000",PhD,"Below ₹2,00,000",1–2 late payments,586
"Below ₹3,00,000",36–50,Tier 2,1,"Above ₹25,00,000",Bachelors,"Below ₹2,00,000",No missed payments,559
"Above ₹25,00,000",51–65,Tier 1,4,"Above ₹25,00,000",Bachelors,"Above ₹1,00,00,000",No missed payments,736
"Above ₹25,00,000",26–35,Tier 2,3,"₹1,00,001 – ₹5,00,000",High School,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,641
"₹6,00,001 – ₹12,00,000",Above 65,Tier 1,5,"₹10,00,001 – ₹25,00,000",Diploma,"₹10,00,001 – ₹50,00,000",1–2 late payments,532
"₹12,00,001 – ₹25,00,000",Above 65,Tier 1,5,"₹1,00,001 – ₹5,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",No missed payments,777
"₹12,00,001 – ₹25,00,000",18–25,Tier 2,5,"₹10,00,001 – ₹25,00,000",Diploma,"₹2,00,000 – ₹10,00,000",1–2 late payments,505
"₹12,00,001 – ₹25,00,000",51–65,Tier 1,2,"Below ₹1,00,000",High School,"₹10,00,001 – ₹50,00,000",No missed payments,736
"₹12,00,001 – ₹25,00,000",26–35,Tier 2,6,"Below ₹1,00,000",Diploma,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,573
"₹6,00,001 – ₹12,00,000",36–50,Tier 1,0,"Below ₹1,00,000",Bachelors,"Below ₹2,00,000",1–2 late payments,709
"Above ₹25,00,000",36–50,Tier 2,5,"₹5,00,001 – ₹10,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,723
"Above ₹25,00,000",26–35,Tier 3,5,"₹1,00,001 – ₹5,00,000",Bachelors,"Below ₹2,00,000",1–2 late payments,586
"₹3,00,001 – ₹6,00,000",26–35,Tier 1,2,"Below ₹1,00,000",Diploma,"₹10,00,001 – ₹50,00,000",1–2 late payments,655
"Below ₹3,00,000",Above 65,Tier 2,4,"Above ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",1–2 late payments,464
"₹12,00,001 – ₹25,00,000",26–35,Tier 3,1,"₹5,00,001 – ₹10,00,000",PhD,"Above ₹1,00,00,000",More than 2 missed payments,723
"₹6,00,001 – ₹12,00,000",Above 65,Tier 3,0,"Below ₹1,00,000",Masters,"₹10,00,001 – ₹50,00,000",1–2 late payments,682
"Below ₹3,00,000",51–65,Tier 3,3,"₹5,00,001 – ₹10,00,000",Diploma,"Above ₹1,00,00,000",No missed payments,614
"Above ₹25,00,000",51–65,Tier 3,2,"Above ₹25,00,000",Diploma,"₹10,00,001 – ₹50,00,000",1–2 late payments,573
"₹12,00,001 – ₹25,00,000",36–50,Tier 2,2,"₹5,00,001 – ₹10,00,000",Diploma,"Above ₹1,00,00,000",More than 2 missed payments,682
"₹12,00,001 – ₹25,00,000",26–35,Tier 1,6,"₹5,00,001 – ₹10,00,000",Masters,"Above ₹1,00,00,000",1–2 late payments,709
"Above ₹25,00,000",Above 65,Tier 3,0,"₹1,00,001 – ₹5,00,000",High School,"Below ₹2,00,000",No missed payments,627
"Below ₹3,00,000",36–50,Tier 3,5,"₹10,00,001 – ₹25,00,000",High School,"Below ₹2,00,000",More than 2 missed payments,368
"Below ₹3,00,000",51–65,Tier 1,1,"₹5,00,001 – ₹10,00,000",Diploma,"Above ₹1,00,00,000",More than 2 missed payments,614
"₹12,00,001 – ₹25,00,000",26–35,Tier 1,3,"₹1,00,001 – ₹5,00,000",Diploma,"Above ₹1,00,00,000",No missed payments,777
"₹6,00,001 – ₹12,00,000",36–50,Tier 2,0,"₹1,00,001 – ₹5,00,000",PhD,"₹2,00,000 – ₹10,00,000",1–2 late payments,736
"₹3,00,001 – ₹6,00,000",18–25,Tier 1,4,"₹5,00,001 – ₹10,00,000",PhD,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,600
"₹3,00,001 – ₹6,00,000",Above 65,Tier 3,0,"₹5,00,001 – ₹10,00,000",Diploma,"₹2,00,000 – ₹10,00,000",No missed payments,573
"₹3,00,001 – ₹6,00,000",18–25,Tier 1,6,"Below ₹1,00,000",Masters,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,655
"₹6,00,001 – ₹12,00,000",Above 65,Tier 2,4,"Below ₹1,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,545
"₹12,00,001 – ₹25,00,000",Above 65,Tier 3,4,"₹5,00,001 – ₹10,00,000",Masters,"₹10,00,001 – ₹50,00,000",No missed payments,655
"₹12,00,001 – ₹25,00,000",36–50,Tier 2,6,"₹5,00,001 – ₹10,00,000",PhD,"Above ₹1,00,00,000",More than 2 missed payments,709
"₹6,00,001 – ₹12,00,000",36–50,Tier 3,0,"₹10,00,001 – ₹25,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",No missed payments,764
"Below ₹3,00,000",Above 65,Tier 2,0,"₹5,00,001 – ₹10,00,000",Diploma,"₹2,00,000 – ₹10,00,000",No missed payments,573
"₹6,00,001 – ₹12,00,000",Above 65,Tier 2,4,"Below ₹1,00,000",Masters,"₹10,00,001 – ₹50,00,000",No missed payments,709
"Below ₹3,00,000",51–65,Tier 3,2,"₹5,00,001 – ₹10,00,000",Bachelors,"₹10,00,001 – ₹50,00,000",1–2 late payments,545
"Below ₹3,00,000",26–35,Tier 2,6,"₹5,00,001 – ₹10,00,000",High School,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,409
"₹3,00,001 – ₹6,00,000",26–35,Tier 1,4,"₹10,00,001 – ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",No missed payments,627
"₹12,00,001 – ₹25,00,000",36–50,Tier 2,3,"₹10,00,001 – ₹25,00,000",High School,"₹2,00,000 – ₹10,00,000",1–2 late payments,559
"Above ₹25,00,000",Above 65,Tier 1,3,"₹10,00,001 – ₹25,00,000",Bachelors,"Below ₹2,00,000",1–2 late payments,586
"₹6,00,001 – ₹12,00,000",Above 65,Tier 1,0,"₹1,00,001 – ₹5,00,000",PhD,"Above ₹1,00,00,000",More than 2 missed payments,764
"₹12,00,001 – ₹25,00,000",Above 65,Tier 1,4,"Above ₹25,00,000",High School,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,491
"₹6,00,001 – ₹12,00,000",18–25,Tier 3,1,"₹1,00,001 – ₹5,00,000",Bachelors,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,641
"Below ₹3,00,000",51–65,Tier 3,1,"₹10,00,001 – ₹25,00,000",Bachelors,"Below ₹2,00,000",1–2 late payments,477
"₹12,00,001 – ₹25,00,000",26–35,Tier 3,4,"₹10,00,001 – ₹25,00,000",PhD,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,573
"₹6,00,001 – ₹12,00,000",51–65,Tier 3,1,"₹10,00,001 – ₹25,00,000",PhD,"Below ₹2,00,000",No missed payments,641
"Above ₹25,00,000",51–65,Tier 3,2,"Above ₹25,00,000",Diploma,"₹2,00,000 – ₹10,00,000",No missed payments,600
"₹6,00,001 – ₹12,00,000",18–25,Tier 2,1,"₹5,00,001 – ₹10,00,000",PhD,"Above ₹1,00,00,000",No missed payments,777
"₹3,00,001 – ₹6,00,000",51–65,Tier 2,6,"Below ₹1,00,000",High School,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,545
"₹6,00,001 – ₹12,00,000",Above 65,Tier 3,4,"Below ₹1,00,000",Bachelors,"Below ₹2,00,000",No missed payments,600
"₹12,00,001 – ₹25,00,000",18–25,Tier 1,1,"Above ₹25,00,000",Masters,"Below ₹2,00,000",More than 2 missed payments,559
"₹6,00,001 – ₹12,00,000",Above 65,Tier 2,0,"Below ₹1,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,736
"Above ₹25,00,000",36–50,Tier 2,4,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",More than 2 missed payments,600
"Above ₹25,00,000",36–50,Tier 3,0,"₹1,00,001 – ₹5,00,000",PhD,"Above ₹1,00,00,000",No missed payments,900
"Below ₹3,00,000",Above 65,Tier 2,4,"₹1,00,001 – ₹5,00,000",Masters,"₹2,00,000 – ₹10,00,000",1–2 late payments,545
"Below ₹3,00,000",18–25,Tier 2,5,"Above ₹25,00,000",Bachelors,"Above ₹1,00,00,000",More than 2 missed payments,477
"Above ₹25,00,000",18–25,Tier 1,5,"Below ₹1,00,000",PhD,"₹2,00,000 – ₹10,00,000",1–2 late payments,723
"₹12,00,001 – ₹25,00,000",18–25,Tier 3,2,"Above ₹25,00,000",High School,"₹50,00,001 – ₹1,00,00,000",No missed payments,573
"₹12,00,001 – ₹25,00,000",51–65,Tier 2,6,"Above ₹25,00,000",High School,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,491
"₹3,00,001 – ₹6,00,000",26–35,Tier 2,6,"Above ₹25,00,000",High School,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,382
"₹12,00,001 – ₹25,00,000",26–35,Tier 2,2,"₹10,00,001 – ₹25,00,000",Masters,"₹50,00,001 – ₹1,00,00,000",No missed payments,736
"₹3,00,001 – ₹6,00,000",Above 65,Tier 1,2,"Above ₹25,00,000",Masters,"₹50,00,001 – ₹1,00,00,000",No missed payments,655
"₹6,00,001 – ₹12,00,000",Above 65,Tier 1,2,"Above ₹25,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",1–2 late payments,545
"₹6,00,001 – ₹12,00,000",26–35,Tier 3,0,"Above ₹25,00,000",Masters,"Above ₹1,00,00,000",1–2 late payments,655
"₹12,00,001 – ₹25,00,000",Above 65,Tier 1,0,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",More than 2 missed payments,600
"Above ₹25,00,000",Above 65,Tier 3,2,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",No missed payments,627
"Below ₹3,00,000",36–50,Tier 2,5,"Below ₹1,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",No missed payments,668
"₹6,00,001 – ₹12,00,000",Above 65,Tier 2,0,"₹10,00,001 – ₹25,00,000",Masters,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,627
"Below ₹3,00,000",51–65,Tier 2,5,"₹10,00,001 – ₹25,00,000",High School,"Below ₹2,00,000",No missed payments,450
"₹6,00,001 – ₹12,00,000",Above 65,Tier 3,6,"Below ₹1,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,627
"Below ₹3,00,000",18–25,Tier 2,3,"₹5,00,001 – ₹10,00,000",High School,"₹2,00,000 – ₹10,00,000",No missed payments,505
"₹6,00,001 – ₹12,00,000",18–25,Tier 2,3,"₹5,00,001 – ₹10,00,000",High School,"Above ₹1,00,00,000",1–2 late payments,586
"Below ₹3,00,000",36–50,Tier 3,2,"Above ₹25,00,000",Diploma,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,436
"Below ₹3,00,000",26–35,Tier 2,3,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,505
"₹6,00,001 – ₹12,00,000",Above 65,Tier 2,4,"Above ₹25,00,000",High School,"Above ₹1,00,00,000",No missed payments,573
"₹6,00,001 – ₹12,00,000",36–50,Tier 1,5,"₹1,00,001 – ₹5,00,000",Bachelors,"Above ₹1,00,00,000",More than 2 missed payments,695
"₹6,00,001 – ₹12,00,000",36–50,Tier 2,6,"₹1,00,001 – ₹5,00,000",PhD,"Below ₹2,00,000",1–2 late payments,627
"₹12,00,001 – ₹25,00,000",26–35,Tier 1,0,"Above ₹25,00,000",Diploma,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,600
"Below ₹3,00,000",36–50,Tier 2,2,"Above ₹25,00,000",Diploma,"Above ₹1,00,00,000",1–2 late payments,573
"₹3,00,001 – ₹6,00,000",51–65,Tier 2,0,"Below ₹1,00,000",Diploma,"₹10,00,001 – ₹50,00,000",More than 2 missed payments,627
"₹3,00,001 – ₹6,00,000",18–25,Tier 2,0,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",More than 2 missed payments,518
"Below ₹3,00,000",26–35,Tier 2,1,"Below ₹1,00,000",Bachelors,"₹10,00,001 – ₹50,00,000",1–2 late payments,641
"Below ₹3,00,000",Above 65,Tier 3,4,"₹10,00,001 – ₹25,00,000",Masters,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,491
"Above ₹25,00,000",51–65,Tier 2,5,"₹10,00,001 – ₹25,00,000",Diploma,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,532
"₹12,00,001 – ₹25,00,000",Above 65,Tier 2,3,"₹5,00,001 – ₹10,00,000",PhD,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,695
"₹3,00,001 – ₹6,00,000",36–50,Tier 2,1,"₹10,00,001 – ₹25,00,000",Masters,"Below ₹2,00,000",More than 2 missed payments,559
"₹3,00,001 – ₹6,00,000",36–50,Tier 1,2,"₹5,00,001 – ₹10,00,000",PhD,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,655
"Above ₹25,00,000",51–65,Tier 1,0,"₹5,00,001 – ₹10,00,000",Masters,"Above ₹1,00,00,000",More than 2 missed payments,791
"Below ₹3,00,000",36–50,Tier 3,1,"₹1,00,001 – ₹5,00,000",Diploma,"Below ₹2,00,000",1–2 late payments,532
"₹12,00,001 – ₹25,00,000",36–50,Tier 2,5,"₹10,00,001 – ₹25,00,000",High School,"₹50,00,001 – ₹1,00,00,000",More than 2 missed payments,559
"₹6,00,001 – ₹12,00,000",26–35,Tier 2,2,"₹1,00,001 – ₹5,00,000",PhD,"Below ₹2,00,000",No missed payments,709
"₹3,00,001 – ₹6,00,000",26–35,Tier 1,4,"Below ₹1,00,000",PhD,"Above ₹1,00,00,000",No missed payments,818
"₹3,00,001 – ₹6,00,000",36–50,Tier 2,3,"₹5,00,001 – ₹10,00,000",Masters,"₹2,00,000 – ₹10,00,000",No missed payments,668
"Above ₹25,00,000",36–50,Tier 3,6,"Above ₹25,00,000",Masters,"Above ₹1,00,00,000",More than 2 missed payments,627
"Above ₹25,00,000",36–50,Tier 1,5,"₹5,00,001 – ₹10,00,000",Masters,"Above ₹1,00,00,000",1–2 late payments,777
"₹6,00,001 – ₹12,00,000",26–35,Tier 2,4,"Above ₹25,00,000",Masters,"₹2,00,000 – ₹10,00,000",No missed payments,600
"₹3,00,001 – ₹6,00,000",Above 65,Tier 3,4,"₹10,00,001 – ₹25,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,491
"₹6,00,001 – ₹12,00,000",18–25,Tier 3,4,"₹1,00,001 – ₹5,00,000",Diploma,"₹50,00,001 – ₹1,00,00,000",1–2 late payments,573
"₹12,00,001 – ₹25,00,000",18–25,Tier 3,3,"₹1,00,001 – ₹5,00,000",Masters,"Above ₹1,00,00,000",More than 2 missed payments,668
"₹12,00,001 – ₹25,00,000",36–50,Tier 3,4,"Above ₹25,00,000",Bachelors,"₹2,00,000 – ₹10,00,000",More than 2 missed payments,518
"Below ₹3,00,000",Above 65,Tier 1,0,"Above ₹25,00,000",High School,"Below ₹2,00,000",1–2 late payments,436
